type,expiry,strike,oi
P,2610,56250,5
P,2610,56500,4
P,2610,56750,1
P,2610,57000,152
P,2610,57500,100
P,2610,57750,31
P,2610,58000,921
P,2610,58250,5
P,2610,58500,6
P,2610,58750,5
P,2610,59000,25
P,2610,59250,17
P,2610,59500,5
P,2610,60000,1739
P,2610,60500,102
P,2610,60750,23
P,2610,61000,200
P,2610,62000,214
P,2610,64000,650
P,2610,64750,1
P,2610,65000,850
P,2610,67000,201
P,2610,68000,530
P,2610,68500,2
P,2610,69000,200
P,2610,69500,75
P,2610,70000,106
P,2610,72500,1
P,2610,79000,2
