date,終値,始値,高値,close
2023-09-29,31857.62,32018.64,32027.46,31717.74
2023-10-02,31759.88,32101.97,32401.58,31759.88
2023-10-03,31237.94,31607.97,31607.97,31157.4
2023-10-04,30526.88,30765.03,30830.85,30487.67
2023-10-05,31075.36,30733.65,31083.9,30565.32
2023-10-06,30994.67,31003.95,31160.45,30928.16
2023-10-10,31746.53,31314.67,31818.26,31314.67
2023-10-11,31936.51,31847.1,32037.07,31804.09
2023-10-12,32494.66,32120.94,32494.66,32120.94
2023-10-13,32315.99,32328.39,32533.08,32249.03
2023-10-16,31659.03,31983.04,31999.79,31564.31
2023-10-17,32040.29,32063.79,32260.77,31901.39
2023-10-18,32042.25,32033.81,32101.47,31866.95
2023-10-19,31430.62,31579.54,31669.42,31399.17
2023-10-20,31259.36,31164.89,31428.97,31093.9
2023-10-23,30999.55,31151.98,31177.41,30974.26
2023-10-24,31062.35,31157.01,31210.26,30551.67
2023-10-25,31269.92,31302.51,31466.92,31195.58
2023-10-26,30601.78,30902.92,30943.33,30567.61
2023-10-27,30991.69,30713.79,31081.48,30687.33
2023-10-30,30696.96,30663.48,30762.5,30538.29
2023-10-31,30858.85,30694.96,30973.66,30552.65
2023-11-01,31601.65,31311.22,31601.65,31301.51
2023-11-02,31949.89,31987.02,32087.13,31878.36
2023-11-06,32708.48,32450.82,32766.54,32395.5
2023-11-07,32271.82,32551.77,32591.11,32250.93
2023-11-08,32166.48,32457.23,32512.17,32049.34
2023-11-09,32646.46,32316.39,32723.71,32193.2
2023-11-10,32568.11,32491.24,32598.93,32248.24
2023-11-13,32585.11,32818.15,32913.31,32499.28
2023-11-14,32695.93,32760.51,32836.27,32667.4
2023-11-15,33519.7,33112.31,33556.52,33096.93
2023-11-16,33424.41,33399.59,33614.13,33233.84
2023-11-17,33585.2,33344.85,33599.63,33263.67
2023-11-20,33388.03,33559.62,33853.46,33352.69
2023-11-21,33354.14,33453.15,33460.32,33254.73
2023-11-22,33451.83,33182.99,33593.5,33182.99
2023-11-24,33625.53,33752.05,33817.86,33622.57
2023-11-27,33447.67,33710.03,33811.41,33397.04
2023-11-28,33408.39,33520.39,33545.85,33298.04
2023-11-29,33321.22,33244.43,33516.23,33179.07
2023-11-30,33486.89,33260.14,33486.89,33161.07
2023-12-01,33431.51,33537.44,33551.57,33397.42
